address_city;address_district;count
DIYARBAKIR;HAZRO;8885
KAYSERI;SARIZ;8878
DUZCE;CUMAYERI;8832
KUTAHYA;ASLANAPA;8820
TUNCELI;OVACIK/TUNCELI;8784
RIZE;GUNEYSU;8767
ESKISEHIR;MIHALICCIK;8690
GUMUSHANE;KURTUN;8589
SIRNAK;BEYTUSSEBAP;8530
IGDIR;KARAKOYUNLU;8502
MALATYA;ARAPGIR;8482
OSMANIYE;TOPRAKKALE;8458
KILIS;MUSABEYLI;8394
BALIKESIR;GOMEC;8281
KAYSERI;HACILAR;8279
KARS;SUSUZ;8265
HATAY;KUMLU;8254
EDIRNE;ENEZ;8231
YOZGAT;AYDINCIK/YOZGAT;8227
AFYONKARAHISAR;BASMAKCI;8183
MERSIN;AYDINCIK/ICEL;8153
AFYONKARAHISAR;DAZKIRI;8149
ANKARA;GUDUL;8138
AFYONKARAHISAR;HOCALAR;8136
ISTANBUL;ADALAR;8120
SAKARYA;KARAPURCEK;8110
DIYARBAKIR;KOCAKOY;8079
VAN;BAHCESARAY;8077
AKSARAY;AGACOREN;8075
MUGLA;KAVAKLIDERE;8041
KIRIKKALE;DELICE;8033
DIYARBAKIR;CUNGUS;7999
AFYONKARAHISAR;COBANLAR;7933
KARS;AKYAKA;7889
BURDUR;TEFENNI;7886
ADIYAMAN;TUT;7857
ORDU;CAMAS;7825
KONYA;DEREBUCAK;7805
MERSIN;CAMLIYAYLA;7800
KASTAMONU;DADAY;7797
ERZINCAN;REFAHIYE;7574
ARDAHAN;CILDIR;7556
KONYA;CELTIK;7501
CANAKKALE;ECEABAT;7429
MANISA;KOPRUBASI/MANISA;7395
TOKAT;ARTOVA;7348
KARAMAN;AYRANCI;7347
GIRESUN;ALUCRA;7306
ARDAHAN;HANAK;7289
KIRSEHIR;AKPINAR;7282
KARABUK;EFLANI;7273
